"Gender","Level of Study","Household Income","Preferred learning mode","Preferred Social Media Platform","Preferred Communication Platform","Difficulties in Online Learning","6. Online Instructional Strategies/Assessment [Demonstration]","6. Online Instructional Strategies/Assessment [Written assignment]","6. Online Instructional Strategies/Assessment [Digital Lab Experiments]","6. Online Instructional Strategies/Assessment [Live Group Discussions]","6. Online Instructional Strategies/Assessment [Forum]","6. Online Instructional Strategies/Assessment [Case Study]","6. Online Instructional Strategies/Assessment [Journaling]","6. Online Instructional Strategies/Assessment [Video based feedback]","6. Online Instructional Strategies/Assessment [Live Chat]","6. Online Instructional Strategies/Assessment [Brainstorming]","6. Online Instructional Strategies/Assessment [Online Debate]","6. Online Instructional Strategies/Assessment [Blog Writing]","6. Online Instructional Strategies/Assessment [Problem Based Learning]","6. Online Instructional Strategies/Assessment [Internet Research]","6. Online Instructional Strategies/Assessment [Exit tickets (End Class Feedback)]","6. Online Instructional Strategies/Assessment [Learning Reflection]","6. Online Instructional Strategies/Assessment [Online Exercise/Practice]","6. Online Instructional Strategies/Assessment [Procedural Demonstration (Perform a given action)]","6. Online Instructional Strategies/Assessment [Concept Mapping]","6. Online Instructional Strategies/Assessment [Document Analysis]","6. Online Instructional Strategies/Assessment [Debugging]","6. Online Instructional Strategies/Assessment [Review (Article, Play, Movie, Audio, Book, etc.)]","6. Online Instructional Strategies/Assessment [Real Time Online Exam]","6. Online Instructional Strategies/Assessment [Individual Project/Assignment]","6. Online Instructional Strategies/Assessment [Group Project/Assignment]","6. Online Instructional Strategies/Assessment [Online Quiz/Test - MCQ]","6. Online Instructional Strategies/Assessment [Online Quiz/Test - Essay]","6. Online Instructional Strategies/Assessment [Online Quiz/Test - Open Book]","6. Online Instructional Strategies/Assessment [Peer Review Assessment Live Presentation]","6. Online Instructional Strategies/Assessment [Recorded Presentation]","6. Online Instructional Strategies/Assessment [Portfolio]","Are you familiar with the term learning style before this survey?","Are you aware what your learning style is?","Do you think knowing your own learning style is important in improving your learning ability?","1. When operating new equipment for the first time I prefer to","2. When seeking travel directions I","3. When cooking a new dish I","4. To teach someone something I","5. I tend to say","6. I tend to say","7. I tend to say","8. Complaining about faulty goods I tend to","9. I prefer these leisure activities","10. When shopping generally I tend to","11. Choosing a holiday I","12. Choosing a new car I","13. Learning a new skill","14. Choosing from a restaurant menu","15. When listening to a band","16. When concentrating I","17. I remember things best by","18. My first memory is of","19. When anxious I","20. I feel especially connected to others because of","21. When I revise for an exam, I","22. When explaining something to someone, I tend to","23. My main interests are","24. Most of my free time is spent","25. When I first contact a new person","26. I first notice how people","27. If I am very angry","28. I find it easiest to remember","29. I think I can tell someone is lying because","30. When I'm meeting with an old friend"
"Female","Postgraduate","Less than RM 4,849","Face to Face, Synchronous Online Learning (Real Time)","Instagram","Whatsapp","Technical Issues, Quality of Material","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Yes","Yes","Yes","Have a go and learn by ""trial and error""","Look at a map","Follow a recipe","Explain verbally","I know how you feel","Let me try","Listen to me explain","Go back to the store, or send the faulty item to the head office","Physical activities or making things","Look and decide","Listen to recommendations","Test-drive what you fancy","I watch what the teacher is doing","I imagine what the food will look like","I listen to the lyrics and the beats","Focus on the words or pictures in front of me","Writing notes or keeping printed details","Looking at something","Visualize the worst case scenarios","How they look","I talk over my notes, to myself or to other people","Encourage them to try and talk them through the idea as they try","Photography or watching films or people watching","Watching television","I talk to them on the telephone","Stand and move","I stomp about, slam doors and throw things","Faces","They avoid looking at you","I say ""it's great to hear your voice!"""
"Female","Postgraduate","Less than RM 4,849","Face to Face","Facebook, Twitter, Instagram","Email, University eLearning Chat Room, Whatsapp, Call, Telegram","Technical Issues, Engagement","Very Much","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Undecided","Somewhat","Undecided","Undecided","Undecided","Very Much","Somewhat","Somewhat","Somewhat","Very Much","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Very Much","Very Much","Very Much","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Yes","Yes","Yes","Read the instructions","Look at a map","Follow a recipe","Demonstrate and let them have a go","I know how you feel","Let me try","Watch how I do it","Go back to the store, or send the faulty item to the head office","Physical activities or making things","Look and decide","Listen to recommendations","Read the reviews","I like to give it a try and work it out as I go along by doing it","I imagine what the food will look like","I sing along to the lyrics (in my head or out loud)","Discuss the problem and possible solutions in my head","Writing notes or keeping printed details","Doing something","Visualize the worst case scenarios","How they make me","I talk over my notes, to myself or to other people","Explain to them in different ways until they understand","Physical/sports activities or fine wines, fine foods or dancing","Doing physical activity or making things","I arrange a face to face meeting","Sound and speak","I keep replaying in my mind what it is that has upset me","Things I have done","The vibes I get from them","I say ""it's great to see you!"""
"Female","Postgraduate","More than RM10,960","Face to Face, Asynchronous Online Learning (On your own time)","Facebook, Youtube","Email, Whatsapp","Adaptability, Technical Issues, Time Management, Self-Motivation, Quality of Material, Engagement","Somewhat","Somewhat","Not Really","Not Really","Somewhat","Not Really","Somewhat","Not Really","Not Really","Somewhat","Not Really","Not Really","Not Really","Somewhat","Not Really","Undecided","Undecided","Undecided","Undecided","Undecided","Somewhat","Somewhat","Very Much","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Very Much","Undecided","Undecided","Yes","No","Yes","Read the instructions","Ask for spoken directions","Follow a recipe","Demonstrate and let them have a go","I see what you mean","Tell me","Listen to me explain","Go back to the store, or send the faulty item to the head office","Museums or galleries","Look and decide","Listen to recommendations","Discuss with friends","I talk through with the teacher exactly what I am supposed to do","I imagine what  the food will taste like","I listen to the lyrics and the beats","Focus on the words or pictures in front of me","Writing notes or keeping printed details","Being spoken to","Talk over in my head what worries me most","What they say to me","Write lots of revision notes","Encourage them to try and talk them through the idea as they try","Listening to music or listening to the radio or talking to friends","Watching television","I arrange a face to face meeting","Look and dress","I keep replaying in my mind what it is that has upset me","Things I have done","The vibes I get from them","I give them a hug or a handshake"
"Female","Postgraduate","More than RM10,960","Face to Face","Facebook","Whatsapp","Technical Issues","Very Much","Somewhat","Somewhat","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Very Much","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Very Much","Very Much","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Very Much","Somewhat","Somewhat","Very Much","Very Much","Very Much","Somewhat","Somewhat","Very Much","Somewhat","No","Yes","Yes","Listen to or ask for an explaination","Ask for spoken directions","Follow a recipe","Explain verbally","I hear what you are saying","Let me try","Listen to me explain","Write a letter","Music or conversation","Look and decide","Listen to recommendations","Test-drive what you fancy","I like to give it a try and work it out as I go along by doing it","I imagine what  the food will taste like","I sing along to the lyrics (in my head or out loud)","Discuss the problem and possible solutions in my head","Writing notes or keeping printed details","Doing something","Talk over in my head what worries me most","What they say to me","Write lots of revision notes","Explain to them in different ways until they understand","Listening to music or listening to the radio or talking to friends","Doing physical activity or making things","I talk to them on the telephone","Sound and speak","I keep replaying in my mind what it is that has upset me","Things I have done","The vibes I get from them","I say ""it's great to see you!"""
"Female","Undergraduate","Less than RM 4,849","Face to Face","Facebook, Instagram, Youtube","Email, University eLearning Chat Room, Whatsapp","Adaptability, Technical Issues, Self-Motivation","Very Much","Very Much","Very Much","Undecided","Undecided","Undecided","Undecided","Somewhat","Undecided","Undecided","Undecided","Undecided","Somewhat","Undecided","Somewhat","Somewhat","Somewhat","Very Much","Undecided","Undecided","Undecided","Somewhat","Very Much","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Undecided","No","Yes","Yes","Read the instructions","Look at a map","Follow a recipe","Demonstrate and let them have a go","I know how you feel","Let me try","You have a go","Write a letter","Physical activities or making things","Look and decide","Listen to recommendations","Read the reviews","I like to give it a try and work it out as I go along by doing it","I imagine what  the food will taste like","I move in time with the music","Discuss the problem and possible solutions in my head","Writing notes or keeping printed details","Looking at something","Visualize the worst case scenarios","What they say to me","Write lots of revision notes","Encourage them to try and talk them through the idea as they try","Physical/sports activities or fine wines, fine foods or dancing","Doing physical activity or making things","I try to get together to share an activity","Look and dress","I shout lots and tell people how I feel","Things I have done","The vibes I get from them","I give them a hug or a handshake"
"Female","Undergraduate","Less than RM 4,849","Face to Face","Instagram, Youtube","University eLearning Chat Room, Whatsapp, Telegram","Adaptability, Technical Issues, Computer Literacy, Time Management, Self-Motivation, Quality of Material, Accessibility, Cost/Focus/Commitment","Very Much","Undecided","Not at All","Not Really","Not Really","Not Really","Not Really","Not Really","Somewhat","Undecided","Not at All","Not at All","Not Really","Undecided","Undecided","Undecided","Somewhat","Somewhat","Undecided","Undecided","Undecided","Undecided","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Very Much","Very Much","Very Much","Yes","Yes","Yes","Listen to or ask for an explaination","Look at a map","Follow a recipe","Explain verbally","I know how you feel","Show me","Watch how I do it","Phone","Music or conversation","Try on, handle or test","Read the brochures","Read the reviews","I watch what the teacher is doing","I talk through the options in my head","I sing along to the lyrics (in my head or out loud)","Discuss the problem and possible solutions in my head","Writing notes or keeping printed details","Doing something","Talk over in my head what worries me most","What they say to me","I talk over my notes, to myself or to other people","Explain to them in different ways until they understand","Physical/sports activities or fine wines, fine foods or dancing","Doing physical activity or making things","I talk to them on the telephone","Sound and speak","I keep replaying in my mind what it is that has upset me","Things I have done","They avoid looking at you","I say ""it's great to see you!"""
"Female","Undergraduate","Less than RM 4,849","Face to Face","Facebook, Instagram, Youtube","Whatsapp, Telegram","Technical Issues, Computer Literacy, Engagement, Accessibility, Cost/Focus/Commitment","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Somewhat","Undecided","Undecided","Somewhat","Undecided","Undecided","Very Much","Very Much","Somewhat","Somewhat","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Undecided","Undecided","Somewhat","Very Much","Somewhat","Very Much","Somewhat","Very Much","Very Much","No","No","Yes","Read the instructions","Look at a map","Follow a recipe","Explain verbally","I know how you feel","Show me","Watch how I do it","Go back to the store, or send the faulty item to the head office","Physical activities or making things","Try on, handle or test","Listen to recommendations","Read the reviews","I like to give it a try and work it out as I go along by doing it","I imagine what  the food will taste like","I move in time with the music","Focus on the words or pictures in front of me","Doing and practicing the activity or imagining it being done","Being spoken to","Talk over in my head what worries me most","What they say to me","I talk over my notes, to myself or to other people","Explain to them in different ways until they understand","Physical/sports activities or fine wines, fine foods or dancing","Doing physical activity or making things","I arrange a face to face meeting","Look and dress","I keep replaying in my mind what it is that has upset me","Names","The vibes I get from them","I say ""it's great to see you!"""
"Female","Undergraduate","Less than RM 4,849","Face to Face, Asynchronous Online Learning (On your own time)","Instagram, Youtube","Email, University eLearning Chat Room, Whatsapp","Technical Issues, Quality of Material, Accessibility, Cost/Focus/Commitment, Lecturer is too demanding and not understanding ","Very Much","Somewhat","Very Much","Not Really","Not Really","Somewhat","Not Really","Very Much","Not Really","Not Really","Not Really","Not Really","Very Much","Undecided","Very Much","Very Much","Very Much","Very Much","Not at All","Not at All","Not at All","Not at All","Not at All","Very Much","Undecided","Very Much","Not Really","Very Much","Very Much","Very Much","Not Really","No","Yes","Yes","Have a go and learn by ""trial and error""","Ask for spoken directions","Follow a recipe","Demonstrate and let them have a go","I know how you feel","Let me try","Watch how I do it","Phone","Physical activities or making things","Try on, handle or test","Listen to recommendations","Test-drive what you fancy","I like to give it a try and work it out as I go along by doing it","I imagine what  the food will taste like","I move in time with the music","Focus on the words or pictures in front of me","Saying them aloud or repeating words and key points in my head","Doing something","Talk over in my head what worries me most","How they make me","I talk over my notes, to myself or to other people","Explain to them in different ways until they understand","Physical/sports activities or fine wines, fine foods or dancing","Doing physical activity or making things","I try to get together to share an activity","Sound and speak","I keep replaying in my mind what it is that has upset me","Things I have done","The vibes I get from them","I give them a hug or a handshake"
"Female","Undergraduate","Less than RM 4,849","Face to Face, Synchronous Online Learning (Real Time)","Facebook, Twitter, Instagram, Youtube","Email, Whatsapp, Call, Telegram","Adaptability, Technical Issues, Computer Literacy, Self-Motivation, Quality of Material, Engagement, Accessibility, Cost/Focus/Commitment","Somewhat","Very Much","Very Much","Very Much","Very Much","Very Much","Not at All","Very Much","Very Much","Very Much","Very Much","Undecided","Very Much","Very Much","Not Really","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Yes","Yes","Yes","Read the instructions","Look at a map","Follow a recipe","Explain verbally","I hear what you are saying","Let me try","Listen to me explain","Go back to the store, or send the faulty item to the head office","Physical activities or making things","Look and decide","Read the brochures","Test-drive what you fancy","I talk through with the teacher exactly what I am supposed to do","I imagine what  the food will taste like","I sing along to the lyrics (in my head or out loud)","Discuss the problem and possible solutions in my head","Doing and practicing the activity or imagining it being done","Doing something","Visualize the worst case scenarios","How they make me","Write lots of revision notes","Encourage them to try and talk them through the idea as they try","Listening to music or listening to the radio or talking to friends","Talking to friends","I arrange a face to face meeting","Sound and speak","I shout lots and tell people how I feel","Faces","Their voice changes","I give them a hug or a handshake"
"Female","Undergraduate","Less than RM 4,849","Face to Face","Instagram","Email, Whatsapp, Call","Technical Issues, Self-Motivation, Engagement, Cost/Focus/Commitment","Very Much","Somewhat","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Very Much","Somewhat","Very Much","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Somewhat","Very Much","Somewhat","Very Much","Somewhat","Somewhat","Very Much","Yes","Yes","Yes","Listen to or ask for an explaination","Ask for spoken directions","Follow a recipe","Explain verbally","I see what you mean","Show me","Watch how I do it","Go back to the store, or send the faulty item to the head office","Music or conversation","Try on, handle or test","Imagine the experience","Read the reviews","I like to give it a try and work it out as I go along by doing it","I imagine what  the food will taste like","I move in time with the music","Move around a lot, fiddle with pens and pencils and touch unrelated things","Saying them aloud or repeating words and key points in my head","Doing something","Can't sit still, fiddle and move around constantly","How they make me","I talk over my notes, to myself or to other people","Encourage them to try and talk them through the idea as they try","Listening to music or listening to the radio or talking to friends","Watching television","I arrange a face to face meeting","Look and dress","I keep replaying in my mind what it is that has upset me","Faces","The vibes I get from them","I give them a hug or a handshake"
